id	name	sido	gu	addr	x	y	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	class_2023	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022	student_2023
S150003611	연일형산초등학교	경북	포항시	경상북도 포항시 남구 연일읍 형산강남로 262	129.341678	35.9986193	21	20	20	20	19	20	20	19	18	18	18	17	16	15	15	14	600	563	544	513	478	455	437	430	398	402	378	353	334	319	309	300
S150003612	오천초등학교	경북	포항시	경상북도 포항시 남구 오천읍 정몽주로 572	129.4168343	35.9694497	39	37	38	35	33	29	28	27	26	25	23	22	20	20	19	18	1260	1119	1020	925	795	694	618	569	538	524	493	474	431	418	374	332
S150003613	용흥초등학교	경북	포항시	경상북도 포항시 북구 용흥로 118	129.3496136	36.0389474	13	13	13	12	11	10	9	8	7	7	7	7	7	7	7	7	364	328	298	261	232	195	175	158	139	115	102	98	88	79	86	86
S150003614	월포초등학교	경북	포항시	경상북도 포항시 북구 청하면 월포로 146	129.3678946	36.2029795	6	6	6	6	6	6	6	5	5	5	5	5	5	5	6	6	85	79	67	58	51	36	32	24	25	26	29	29	27	24	27	20
S150003615	유강초등학교	경북	포항시	경상북도 포항시 남구 연일읍 유강길9번길 39	129.3142555	36.0039598	36	39	38	39	38	37	35	34	33	31	32	31	32	33	33	33	1288	1206	1132	1051	969	913	839	805	778	755	742	751	770	789	758	738
S150003617	이동초등학교	경북	포항시	경상북도 포항시 남구 포스코대로 147-10	129.343302	36.0273238	61	62	62	59	53	49	47	44	41	38	37	36	36	35	34	35	2323	2152	1990	1811	1590	1435	1279	1190	1098	1035	1018	980	943	935	903	877
S150003618	인덕초등학교	경북	포항시	경상북도 포항시 남구 서원재로170번길 9	129.4021978	35.984664	7	7	7	7	7	7	8	10	12	14	16	19	17	20	23	26	94	88	69	55	52	47	149	173	243	289	376	453	445	475	545	612
S150003620	장기초등학교	경북	포항시	경상북도 포항시 남구 장기면 장기로 336	129.4941167	35.8970265	5	7	7	6	6	5	6	6	6	5	5	6	6	6	6	6	50	64	54	44	33	30	32	33	41	36	39	40	50	58	54	51
S150003621	장기초등학교모포분교장	경북	포항시	경상북도 포항시 남구 장기면 모포길 59	129.5233879	35.9346481	3	3	3	3	2	2	2	2	2	2	2	1	1	2	2	2	18	15	11	9	6	4	4	3	5	5	5	4	3	4	4	4
NONE	장기초등학교봉산분교장	경북	포항시	경북 포항시 남구 장기면 창지리84번지	129.4822878	35.9300196	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S150003625	장량초등학교	경북	포항시	경상북도 포항시 북구 삼흥로100번길 9	129.3800848	36.0712436	27	29	29	30	31	34	36	38	37	38	38	37	35	34	34	32	924	907	844	916	929	976	1018	1082	1040	1038	1048	998	945	923	885	820
S150003626	장성초등학교	경북	포항시	경상북도 포항시 북구 새천년대로1123번길 6	129.3719231	36.069977	16	22	25	25	26	25	25	25	25	25	24	24	22	21	24	22	447	657	729	708	720	676	664	657	631	613	591	571	557	534	526	476
S150003628	죽도초등학교	경북	포항시	경상북도 포항시 북구 중흥로 195	129.356201	36.0220165	12	11	10	9	8	6	6	6	6	6	6	6	6	6	6	6	285	225	212	200	153	125	106	106	90	83	94	94	96	76	80	79
S150003631	죽장초등학교	경북	포항시	경상북도 포항시 북구 죽장면 새마을로 3575	129.0914719	36.1597712	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	63	49	44	43	35	33	35	34	34	31	28	25	23	26	17	20
S150003635	죽장초등학교상옥분교장	경북	포항시	경상북도 포항시 북구 죽장면 죽장로 1815	129.2139078	36.246679	3	3	3	3	3	3	3	3	3	2	2	1	1	2	2	1	16	14	15	12	11	11	17	14	12	9	5	2	2	3	5	2
NONE	죽장초등학교죽북분교장	경북	포항시	경북 포항시 북구 죽장면 합덕리276	129.0960128	36.2025281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S150003638	죽천초등학교	경북	포항시	경상북도 포항시 북구 흥해읍 죽천길185번길 30	129.4279045	36.0982831	4	4	4	4	4	4	5	5	5	6	6	6	6	6	6	6	31	32	26	27	32	23	39	56	54	58	55	72	50	70	72	68
S150003640	창포초등학교	경북	포항시	경상북도 포항시 북구 새천년대로1075번길 32	129.3689735	36.067044	25	25	23	22	20	17	16	15	13	13	15	19	20	22	25	26	814	731	637	579	508	427	388	331	294	260	268	461	507	573	569	583
S150003641	청림초등학교	경북	포항시	경상북도 포항시 남구 정몽주로 890	129.4044222	35.9954293	20	19	17	16	14	13	13	13	12	11	10	9	7	7	7	7	557	475	419	386	361	269	236	233	215	206	181	150	127	119	122	103
S150003644	청하초등학교	경북	포항시	경상북도 포항시 북구 청하면 청하로217번길 19	129.3376726	36.1987211	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	169	151	128	116	95	78	67	62	64	72	67	60	58	63	62	51
NONE	청하초등학교청하남부분교장	경북	포항시	경상북도 포항시 북구 청하면 사방공원길 27	129.3425223	36.1686213	3	4	4	4	4	4	2	2	0	0	0	0	0	0	0	0	21	21	26	21	18	16	8	7	0	0	0	0	0	0	0	0
S150006492	초곡초등학교	경북	포항시	경북 포항시 북구 흥해읍 초곡지구로58번길 56	129.3332757	36.0974895	0	0	0	0	0	0	0	0	0	0	0	21	36	42	47	50	0	0	0	0	0	0	0	0	0	0	0	506	885	1031	1138	1221
S150003648	포항남부초등학교	경북	포항시	경상북도 포항시 북구 새천년대로 606	129.3558332	36.0277769	17	17	16	15	15	14	14	14	14	14	13	13	12	12	13	14	485	424	377	333	316	290	262	261	258	269	259	239	233	246	275	264
