addr	serial	name	sido_	gu	sido
경상북도 포항시 남구 오천읍 정몽주로 49	S150003587	문충초등학교	경상북도	포항시	경북
경상북도 구미시 역전로2길 23	S150001416	구미초등학교	경상북도	구미시	경북
부산광역시 사하구 장평로 390	S020001466	사남초등학교	부산광역시	사하구	부산
전라남도 화순군 능주면 학샘길 12	S140002270	능주초등학교	전라남도	화순군	전남
강원도 철원군 근남면 육단2길 34	S100001742	근남초등학교	강원도	철원군	강원
강원도 강릉시 모산로224번길 3	S100000588	모산초등학교	강원도	강릉시	강원
경기도 양주시 남면 화합로 503	S090001800	상수초등학교	경기도	양주시	경기
충청남도 논산시 연무로 369	S120000447	구자곡초등학교	충청남도	논산시	충남
충청북도 청주시 상당구 남일면 척산화당로 539	S110000838	동화초등학교	충청북도	청주시	충북
대구광역시 서구 국채보상로37길 35	S030000897	대구이현초등학교	대구광역시	서구	대구
전라북도 익산시 계문길 79-8	S130001180	이리계문초등학교	전라북도	익산시	전북
강원도 동해시 발한천길 30	S100000783	묵호초등학교	강원도	동해시	강원
전남 신안군 임자면 임자로 216-4	S140001284	임자초등학교	전남	신안군	전남
전라북도 임실군 오수면 충효로 2059	S130001322	오수초등학교	전라북도	임실군	전북
울산광역시 울주군 서생면 진하길 7	S070000199	성동초등학교	울산광역시	울주군	울산
제주특별자치도 서귀포시 대정읍 서삼중로 106	S170000303	무릉초등학교	제주특별자치도	서귀포시	제주
경기도 파주시 동편길 13	S090003878	교하초등학교	경기도	파주시	경기
강원도 홍천군 홍천읍 두루봉1길 16	S100002254	주봉초등학교	강원도	홍천군	강원
충청남도 천안시 동남구 광덕면 신흥리3길 36	S120000756	광덕초등학교	충청남도	천안시	충남
경기도 안성시 미양면 미양로 72	S090002928	개정초등학교	경기도	안성시	경기
전라북도 무주군 설천면 무설로 1599	S130000903	설천초등학교	전라북도	무주군	전북
경상북도 상주시 지천1길 5	S150002071	상주남부초등학교	경상북도	상주시	경북
부산광역시 해운대구 선수촌로207번길 14	S020001658	반석초등학교	부산광역시	해운대구	부산
전라남도 나주시 노안면 만호길 20-11	S140000703	노안남초등학교	전라남도	나주시	전남
경기도 화성시 향남읍 왜골길 7	S090004348	향남초등학교	경기도	화성시	경기
경상남도 산청군 단성면 목화로961번길 10	S160001706	단성초등학교	경상남도	산청군	경남
전라남도 장성군 남면 황토단감로 142-11	S140001925	분향초등학교	전라남도	장성군	전남
인천광역시 강화군 불은면 불은남로544번길 9	S040000349	불은초등학교	인천광역시	강화군	인천
전라남도 함평군 학교면 백학길 100	S140002117	학다리중앙초등학교	전라남도	함평군	전남
경상북도 청도군 풍각면 송서10길 22	S150003337	풍각초등학교	경상북도	청도군	경북
전라남도 장성군 장성읍 성산2길 21	S140001935	장성성산초등학교	전라남도	장성군	전남
경기도 양평군 양서면 양서도곡길 8	S090003251	양서초등학교	경기도	양평군	경기
경상북도 김천시 봉산면 봉계길 74-15	S150001696	봉계초등학교	경상북도	김천시	경북
전라북도 남원시 산내면 대정길 99	S130000813	산내초등학교	전라북도	남원시	전북
경기도 포천시 소흘읍 이곡길 5	S090004202	이곡초등학교	경기도	포천시	경기
충청남도 논산시 양촌면 매죽헌로1665번길 22	S120000476	양촌초등학교	충청남도	논산시	충남
서울특별시 광진구 군자로 9	S010002195	서울화양초등학교	서울특별시	광진구	서울
충청남도 당진시 송악읍 신평로 1185	S120000916	전대초등학교	충청남도	당진시	충남
충청남도 금산군 군북면 시두물길 15	S120000408	용문초등학교	충청남도	금산군	충남
경기도 여주시 강천면 간매3길 31	S090003328	강천초등학교	경기도	여주시	경기
대구광역시 달성군 하빈면 하빈로 391-1	S030000585	대구하빈초등학교	대구광역시	달성군	대구
인천광역시 중구 백운로414번길 63-50	S040001545	인천영종초등학교금산분교장	인천광역시	중구	인천
강원도 춘천시 교동길 29	S100001825	교동초등학교	강원도	춘천시	강원
울산광역시 울주군 두동면 대밀길 29	S070000170	두동초등학교	울산광역시	울주군	울산
경기도 여주시 대신면 여양로 1440	S090003338	대신초등학교	경기도	여주시	경기
경기도 이천시 모가면 진상미로 1321-14	S090003795	진가초등학교	경기도	이천시	경기
강원도 삼척시 새천년도로 630-121	S100000898	삼척중앙초등학교	강원도	삼척시	강원
충청남도 논산시 연산면 연산5길 13	S120000483	연산초등학교	충청남도	논산시	충남
