sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	성동구	서울금호초등학교	55	52	46	43	46	39	35	33	34	36	34	32	32	30	30	1750	1417	1237	1088	913	837	781	732	688	656	613	600	568	545	534
서울	성동구	서울동명초등학교	45	36	32	28	28	24	24	23	21	20	20	19	18	19	18	1292	980	848	751	649	559	494	452	399	364	363	345	314	310	285
서울	성동구	서울동호초등학교	0	0	19	17	18	19	21	21	21	25	25	25	25	25	25	0	0	278	362	393	375	409	443	460	487	502	509	475	444	453
서울	성동구	서울마장초등학교	32	32	34	34	35	36	36	35	32	31	30	28	26	25	24	1099	1076	1066	976	946	882	846	766	727	672	620	571	530	493	477
서울	성동구	서울무학초등학교	45	42	41	39	35	31	29	29	29	29	29	28	27	26	26	1320	1181	1065	977	841	733	675	643	573	523	515	501	498	449	457
서울	성동구	서울사근초등학교	21	18	17	16	15	15	15	15	13	13	13	13	13	13	13	490	432	386	347	304	277	265	259	215	207	199	199	176	168	173
서울	성동구	서울성수초등학교	36	33	32	32	30	28	26	25	22	20	19	18	19	18	18	1004	897	825	766	669	596	536	504	446	407	344	310	280	276	257
서울	성동구	서울송원초등학교	0	20	23	22	22	21	20	20	18	16	16	15	15	15	14	0	562	573	530	512	464	442	389	351	332	314	314	285	269	260
서울	성동구	서울숭신초등학교	0	0	0	0	0	0	0	0	23	30	32	36	38	38	38	0	0	0	0	0	0	0	0	414	604	680	775	782	842	868
서울	성동구	서울옥수초등학교	27	26	25	23	23	21	22	21	23	24	27	29	29	29	29	726	676	577	482	437	421	413	401	434	462	525	540	538	532	537
서울	성동구	서울옥정초등학교	41	37	36	36	37	34	37	37	37	37	37	37	37	37	36	1101	902	898	865	858	822	818	835	820	816	857	852	807	752	725
서울	성동구	서울용답초등학교	35	34	31	29	26	25	24	22	20	19	19	18	17	15	15	977	881	784	687	608	543	502	447	395	357	361	310	266	248	230
서울	성동구	서울응봉초등학교	38	38	38	38	38	38	38	38	38	38	38	38	36	35	34	1433	1315	1243	1156	1062	995	963	980	950	958	940	944	851	777	743
서울	성동구	서울행당초등학교	35	33	35	35	33	34	35	34	34	33	36	36	35	35	35	930	862	793	806	794	799	800	751	716	657	649	724	678	699	726
