year	sido	gu	name	addr	x	y
20150401	경북	김천시	대신초등학교	경상북도 김천시 아포읍 대신길 103	128.1958114	36.1547777
20150401	경북	김천시	부항초등학교	경상북도 김천시 부항면 양지말길 6	127.941575	35.986951
20190401	경북	김천시	양천초등학교	경상북도 김천시 하로길 235	128.1059794	36.0928255
20130401	경북	김천시	지동초등학교	경상북도 김천시 아포읍 지리376번지	128.2522315	36.1850078
20170401	경북	김천시	태화초등학교	경상북도 김천시 봉산면 봉산1로 43	128.028617	36.1531199
20100401	경북	문경시	동성초등학교마성분교장	경상북도 문경시 마성면 정리25-3	128.1075676	36.6877266
20090401	경북	문경시	산양초등학교금동분교장	경북 문경시 산양면 과곡리594	128.2723067	36.6369399
20090401	경북	문경시	신기초등학교대성분교장	경북 문경시 호계면 견탄리500-5	128.1522651	36.6477391
20080401	경북	문경시	영순초등학교영창분교장	경북 문경시 영순면 말응리524번지	128.2460753	36.5450049
20130401	경북	봉화군	명호초등학교북곡분교장	경상북도 봉화군 명호면 북곡리1309	128.8878385	36.8061222
20120401	경북	봉화군	물야초등학교개단분교장	경상북도 봉화군 물야면월계길 321	128.7611354	36.9662033
20160401	경북	봉화군	물야초등학교수식분교장	경상북도 봉화군 물야면 두문로 370	128.679099	36.9382889
20090401	경북	봉화군	석포초등대현분교장	경북 봉화군 석포면 대현리90-5	129.0042812	37.0594969
20110401	경북	봉화군	석포초등학교대현분교장	경상북도 봉화군 석포면 청옥로1893	129.0039795	37.0597049
20150401	경북	봉화군	소천초등학교남회룡분교장	경상북도 봉화군 소천면 남회룡로 777	129.153525	36.876332
20210401	경북	봉화군	소천초등학교분천분교장	경상북도 봉화군 소천면 풍애길 36	129.055088	36.927643
20090401	경북	봉화군	춘양초등학교눌산분교장	경북 봉화군 법전면 눌산리1134-2	128.9531567	36.8931923
20130401	경북	상주시	공서초등학교	경상북도 상주시 공성면 금계리33	128.0777647	36.299805
20170401	경북	상주시	낙동초등학교용포분교장	경상북도 상주시 낙동면 선상서로 1587	128.213482	36.3301146
20090401	경북	상주시	모서초등학교화산분교장	경북 상주시 모서면 정산리355-2	127.8723114	36.3069698
20130401	경북	상주시	외남초등학교삼남분교장	경상북도 상주시 외남면 신촌리467	128.0798569	36.3454579
20110401	경북	상주시	청동초등학교	경상북도 상주시 청리면 덕산1길16-5번지	128.112864	36.341657
20140401	경북	상주시	함창초등학교숭덕분교장	경상북도 상주시 이안면 이안2길 3	128.1604705	36.5409803
20120401	경북	상주시	화령초등학교송계분교장	경상북도 상주시 화서면 문장로288번지	127.9780302	36.4638299
20180401	경북	성주군	가천초등학교무학분교장	경상북도 성주군 금수면 성주로 587-4	128.096913	35.92611
20170401	경북	성주군	도원초등학교선남동부분교장	경상북도 성주군 선남면 선노로 678	128.393075	35.933226
20150401	경북	성주군	봉소초등학교	경상북도 성주군 초전면 용소길 60	128.2626414	36.0255955
20150401	경북	성주군	지방초등학교	경상북도 성주군 월항면 세종대왕자태실로 211	128.289425	35.987093
20120401	경북	성주군	지사초등학교	경상북도 성주군 수륜면 오천리280번지	128.2316767	35.8156181
20080401	경북	안동시	북후초등학교연곡분교장	경북 안동시 북후면 연곡리414-1	128.7313189	36.6641235
20220401	경북	안동시	서후초등학교대흥분교장	경상북도 안동시 서후면 대두서6길 12	128.622575	36.622249
20090401	경북	안동시	온혜초등학교예안분교장	경북 안동시 도산면 서부리214-2	128.8122879	36.7013197
20090401	경북	안동시	일직남부초등학교	경북 안동시 일직면 망호리819	128.6650963	36.4610648
20160401	경북	안동시	풍천초등학교	경상북도 안동시 풍천면 봉호로 3626	128.4612322	36.5449298
20120401	경북	영덕군	야성초등학교	경상북도 영덕군 영덕읍야성길 15	129.3686211	36.4071227
20160401	경북	영덕군	영덕야성초등학교매정분교장	경상북도 영덕군 영덕읍 매정길 235	129.422185	36.4456677
20150401	경북	영덕군	영덕야성초등학교창포분교장	경상북도 영덕군 영덕읍 창포길 2-11	129.4279817	36.4095938
20110401	경북	영덕군	영덕초등학교	경북 영덕군 영덕읍 덕곡4길8번지	129.3680938	36.4129833
20110401	경북	영덕군	영덕초등학교매정분교장	경상북도 영덕군 영덕읍매정길 235	129.422185	36.4456677
20110401	경북	영덕군	영덕초등학교창포분교장	경상북도 영덕군 영덕읍창포길 2-11	129.4279817	36.4095938
20090401	경북	영덕군	영해초등학교영해동부분교장	경북 영덕군 영해면 괴시리490번지	129.4263271	36.5549987
20110401	경북	영덕군	영해초등학교축산분교장	경상북도 영덕군 축산면영축로 963	129.4049158	36.5092932
20150401	경북	영양군	일월초등학교청북분교장	경상북도 영양군 청기면 재일로 1383-23	129.052983	36.7571061
20120401	경북	영주시	봉현서부초등학교	경상북도 영주시 봉현면 테라피로521번길	128.5016696	36.8719567
20100401	경북	영주시	부석초등학교남대분교장	경상북도 영주시 부석면 남대리354	128.6552931	37.0463688
20120401	경북	영천시	영천남부초등학교	경북 영천시 한방로273-6	128.9575822	35.9413297
20080401	경북	영천시	창산초등학교	경북 영천시 금호읍 원기리277번지	128.8812003	35.9077673
20090401	경북	예천군	감천초등학교덕율분교장	경북 예천군 감천면 덕율리143번지	128.5052387	36.7046831
20080401	경북	예천군	감천초등학교옥천분교장	경북 예천군 보문면 옥천리242번지	128.5555413	36.7095303
20080401	경북	예천군	예천남부초등학교신당분교장	경북 예천군 호명면 내신리362번지	128.4398251	36.6228851
20090401	경북	예천군	예천남부초등학교인포분교장	경북 예천군 호명면 월포리382	128.4789116	36.6201618
20080401	경북	예천군	예천동부초등학교보문분교장	경북 예천군 보문면 수계리658-1	128.5476051	36.6887695
20090401	경북	예천군	용궁초등학교장평분교장	경북 예천군 용궁면 월오리690	128.311575	36.6272181
20120401	경북	울릉군	남양초등학교태하분교장	경상북도 울릉군 서면 태하길130	130.8018024	37.5130688
20090401	경북	울진군	매화초등학교덕신분교장	경북 울진군 원남면 오산리931	129.4124311	36.8904066
20150401	경북	울진군	사동초등학교	경상북도 울진군 기성면 해월헌길 19	129.437813	36.829942
20170401	경북	울진군	삼근초등학교광회분교장	경상북도 울진군 금강송면 회룡천1길 26-5	129.1028976	36.9459436
20190401	경북	울진군	삼근초등학교왕피분교장	경상북도 울진군 금강송면 거리고길 71	129.2769655	36.8824031
20140401	경북	의성군	단북초등학교	경상북도 의성군 단북면 중련길 22-8	128.4069168	36.3905071
20110401	경북	의성군	사곡초등학교	경상북도 의성군 사곡면 의성사곡로965	128.7880014	36.3068156
20100401	경북	의성군	상천초등학교	경북 의성군 금성면 제오리904-1	128.7042973	36.2854938
20210401	경북	의성군	이두초등학교	경상북도 의성군 비안면 강변길 105	128.495263	36.337624
20080401	경북	의성군	이두초등학교비안분교장	경북 의성군 비안면 서부리35번지	128.4949625	36.3252345
20150401	경북	청도군	동곡초등학교	경상북도 청도군 금천면 동곡1길 11-5	128.8949204	35.6899828
20120401	경북	청도군	매전초등학교	경상북도 청도군 매전면 청매로1288	128.8381323	35.6426749
20150401	경북	청도군	방지초등학교	경상북도 청도군 금천면 청려로 4649	128.9084734	35.71256
20090401	경북	청도군	방지초등학교문명분교장	경북 청도군 운문면 신원리1230-1	128.9611847	35.6847714
20080401	경북	청도군	칠곡초등학교	경북 청도군 이서면 양원리129-5	128.6865643	35.6939916
20130401	경북	청송군	대전초등학교	경상북도 청송군 부남면 대전리14	129.0562901	36.3412384
20220401	경북	칠곡군	북삼초등학교오평분교장	경상북도 칠곡군 북삼읍 시덕로 311	128.3787045	36.0594264
20140401	경북	포항시	구룡포초등학교구남분교장	경상북도 포항시 남구 구룡포읍 동해안로4287번길 6	129.5367362	35.9496547
20110401	경북	포항시	구룡포초등학교구동분교장	경상북도 포항시 남구 구룡포읍 용주로7번길30	129.5612101	35.9917781
20080401	경북	포항시	죽장초등학교죽북분교장	경북 포항시 북구 죽장면 합덕리276	129.0960128	36.2025281
20160401	경북	포항시	청하초등학교청하남부분교장	경상북도 포항시 북구 청하면 사방공원길 27	129.3425223	36.1686213
20170401	경북	포항시	포항제철동초등학교	경상북도 포항시 남구 지곡로 60	129.3278289	36.0128005
20170401	경북	포항시	포항제철서초등학교	경상북도 포항시 남구 지곡로 25	129.3273905	36.0092673
20220401	광주	광산구	신가초등학교	광주광역시 광산구 신가로40번길 21	126.8278526	35.1826649
20220401	광주	북구	경양초등학교	광주광역시 북구 북문대로98번길 20	126.878987	35.180251
20090401	광주	북구	광주동초등학교충효분교	광주 북구 충효동529-2	127.0030155	35.1811209
20140401	광주	북구	광주지산초등학교북분교장	광주광역시 북구 하서로 985	126.914075	35.246368
20170401	대구	북구	대구대동초등학교	대구광역시 북구 대동로1길 40	128.6118383	35.8973687
20140401	대전	대덕구	신탄진초등학교새여울분교장	대전광역시 대덕구 대덕대로 1585	127.4230109	36.4517895
20140401	대전	서구	기성초등학교길헌분교	대전광역시 서구 당고개길 48	127.3163698	36.2417041
20100401	대전	유성구	대전보덕초등학교	대전광역시 유성구 봉산동839	127.3900511	36.4360566
20110401	부산	강서구	눌차초등학교	부산광역시 강서구 눌차동587번지 눌차초등학교	128.8410266	35.0687351
